gene,pvalue,baseMean,log2FoldChange,lfcSE,stat,padj,log_pvalue,log_padj
Dnajb6,0.00022698581855651033,102.3697047806332,0.7400401041664172,0.202062931527088,3.6795805871446925,0.016684022305243202,8.390623015753748,4.093303765724141
Slc12a2,0.0001727158229209049,49.15947877240294,1.421579705337436,0.3862606164716792,3.732057319514292,0.013153111174399221,8.663862956157939,4.3310969571325835
Mbtd1,2.970426005238208e-05,122.5662113820764,0.8517112234676034,0.20479238537998817,4.170515990378883,0.0032507462075103176,10.424220086334454,5.728870706684201
Spon1,0.00025469541160348284,14.620530073512878,-3.697455319723936,1.0126285205852945,-3.655614718850866,0.018090721206874306,8.275442191046972,4.012356112659607
Ppp1r15a,4.60396397090715e-10,61.22871736589231,1.871763447913586,0.3051626739528996,6.19916132309321,1.2833766737015518e-07,21.498933264718055,15.868601020181494
Sh3glb1,0.0005929870855768886,196.110875516626,0.5084860329992091,0.14858450874225798,3.4315401560665038,0.03605263869264589,7.430337937320241,3.322775222572106
Kdm6b,3.3278292465946672e-09,62.46450223107367,1.7198179591202059,0.2962473497275966,5.87929617064196,7.563899890644556e-07,19.52094562341834,14.094708735225293
Rab11fip1,8.919952360609636e-10,52.5354268854464,2.415626765709718,0.40184523816333595,6.088293200214937,2.3960613850117593e-07,20.83756032410163,15.244269351245418
Ahr,4.810987325758175e-05,67.94227367725055,1.390388969958244,0.3561607107745568,4.0152156427923895,0.004615423814983849,9.942023136686194,5.37835158101114
Btg2,3.0791860474379706e-09,305.5487530383668,1.177663614808616,0.20242380269520002,5.893341882231551,7.220935661087077e-07,19.598600545198828,14.141111113501678
Sash1,0.0004926866331201045,100.58732662699975,1.0056122864908463,0.29309791150167,3.468290210495474,0.0304613959877404,7.615637218638062,3.4912951023702696
Srsf5,3.787269078616362e-11,272.3030300091532,0.8341213014147508,0.1272367328696692,6.594204454349708,1.3322169849399555e-08,23.996790823299936,18.13383628349462
Kpna4,2.774301543497371e-18,296.1965629754826,1.401852487637018,0.17306137560242457,8.497587726798592,2.2770850557572305e-15,40.42613265441217,33.715880254219655
Etf1,1.2640252101282747e-07,94.5955402475146,1.125259508419532,0.21334863878423,5.280846690817151,2.2774034700530646e-05,15.883794410710811,10.689889499886382
Rlim,0.00030846911019276395,83.20298396125031,0.8261945152577003,0.2295441289713684,3.6052854446565137,0.020905149697192177,8.083888848666879,3.867759753367285
Pde4b,2.1997450380245422e-23,228.15942859281344,1.8681999509175378,0.18863755072081,9.943846312513255,3.6110036879749535e-20,52.17111567702178,44.76771609626932
Gm15675,3.957828937454326e-05,2.5275372969187115,-6.509830174792965,1.587951540206352,-4.106890656358642,0.003977752702173484,10.137229838164385,5.527038266854439
Plek,2.2634773252757072e-17,292.4476275054898,1.5506545147378041,0.1911149660380802,8.367520935307237,1.5924101906487286e-14,38.32704431060502,31.77094259023976
Actg1,5.006939974876046e-08,1381.0772455709819,0.650551931978931,0.1314213259443501,5.301178241744553,9.246566398602339e-06,16.80985579891767,11.591258275502868
Dusp10,3.261057311065807e-06,22.050913977121738,2.115223160688164,0.4555195618933091,4.650264929290996,0.00044610056216376145,12.633459086620999,7.714966155656535
H3f3b,5.829383162382078e-22,1064.929300005084,1.095400761264012,0.11899229881931472,9.503521246340956,6.624869757002525e-19,48.89396085515535,41.8582860545282
Antxr1,0.00040743419754230546,3.024318001679674,-5.160566486058056,1.4672712692273322,-3.5293072949410544,0.0260581507986581,7.805631116746191,3.6474246691793017
Arap2,1.4112245914841847e-07,136.6887616652852,1.3471063589802321,0.26540358166500655,5.200055323226769,2.511979772841849e-05,15.77363781890142,10.591854268609335
Btg1,3.631084419600788e-19,428.80268006268363,1.324555115017912,0.15380072734514458,8.838165133268927,3.576376081012136e-16,42.45958542504144,35.567011468054964
Hbb-bt,1.7113320555590785e-06,12.736063539578899,-4.724039001454733,0.9952637828360661,-4.773113241313114,0.0002478747038120571,13.278238510837934,8.302587166033522
Srgn,1.4976128928090034e-20,596.7008486952511,1.405251713443324,0.1581552065517068,9.18068255940948,1.580409491311444e-17,45.64782942419641,38.68626259572299
Pnrc1,1.3732367846942874e-05,99.09299592402516,0.9124012524033155,0.2123599599202032,4.333449243010341,0.0016361451820220486,11.195754895155305,6.415412302671659
Hsph1,0.00013213499504691304,62.81352978510735,2.2299028473439657,0.5843360566949432,3.82040431317697,0.010439371212957717,8.931686468219455,4.562170926985359
Atg2a,7.951520434987525e-06,30.241822272966658,1.6004918954207301,0.3588280010206824,4.464588270643692,0.0010215283731000496,11.742147397899958,6.886455368174524
Dhx40,0.00011933416223086782,75.69681568069542,1.445207880580508,0.3769226142569204,3.8437747545124976,0.009794682848882451,9.033582914187082,4.62591560698861
Calm2,8.1725057532208e-07,184.17455319004821,0.8083586344076112,0.1700843227395074,4.87983671551998,0.00012847630657187166,14.01732008736916,8.959766055284636
Egr2,1.8144901006542766e-05,6.410534417564591,3.86594454933865,0.9062160992637555,4.2803473988736584,0.002127561646592562,10.917120973002039,6.152778721864833
Ipcef1,0.0007589972672441217,36.125665654096906,-1.490638113651888,0.4529901873407177,-3.343785979096932,0.043903949207025575,7.183512381044004,3.1257510037893357
Hspa1b,6.163767736197039e-09,146.429778528545,3.5338137358021102,0.6468564900404993,5.717476151136611,1.2887931206518074e-06,18.90457760089331,13.561804342891339
F630028O10Rik,0.0003481483740645153,27.69686078021066,-1.5687649005523319,0.44642791259661196,-3.557262077490722,0.023065220082641925,7.962881806802004,3.7694294201734397
Tbc1d4,8.516762886309422e-14,435.9552793143258,2.133971773013878,0.3036642854070374,7.316310962714418,4.660246477123534e-11,30.094154976193444,23.78936768410909
Akap9,0.0007801002542316647,79.25729762743194,-0.7857073929975986,0.23713801669739917,-3.34582449929446,0.04484514068489733,7.15608811547381,3.1045400422803464
Ifi27l2a,4.450306485013664e-06,277.3923612957096,-1.3723735972737159,0.30649268344769265,-4.553122475221654,0.0005977166182690169,12.322537591120986,7.422393798824719
Tiparp,4.475830677461593e-11,50.65598186483628,2.149238972235224,0.3277615652517184,6.577818167100196,1.5378121495073853e-08,23.829744062185704,17.990320019790584
Rhob,4.86812475297368e-08,29.847710253684102,2.577624455616208,0.48309108439218207,5.413553797811098,9.104009506383944e-06,16.837971942003918,11.606795636382257
