"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
255.987696917537,2.1093905286321,0.137849101393117,15.3021710501874,7.39481034135639e-53,5.23034935444138e-49,"Gm10076"
89.2442976203812,3.30913171821691,0.238626241510959,13.8674258843612,9.97942677440336e-44,3.52922427876775e-40,"Nr4a1"
123.014543161335,3.9788224795138,0.290848683552813,13.6800429381738,1.336137762136e-42,3.15016746386264e-39,"Egr1"
174.801380264336,2.14180361243592,0.178364559450369,12.0080111151895,3.22508195805248e-33,5.7027511723263e-30,"Pim1"
335.935100127777,1.74030034686437,0.150137220155069,11.5913984891082,4.55631753620533e-31,6.44536678671606e-28,"Rel"
189.296353499471,2.40241707929901,0.231835003893661,10.3626158213837,3.66791362667239e-25,4.32385884690897e-22,"Pmaip1"
429.764730185336,1.33085241883722,0.130013439410903,10.236268072496,1.36396473650571e-24,1.37818894018642e-21,"Btg1"
187.690103301291,3.21790723534298,0.315838737501274,10.1884501590943,2.23295541543598e-24,1.97421170667233e-21,"Atf3"
598.405283319043,1.41106777423559,0.144018828846774,9.79780064547582,1.15063653957648e-22,9.04272471602712e-20,"Srgn"
228.887675770993,1.86889680750386,0.194233246352316,9.621920256195,6.4613484895877e-22,4.57011178668538e-19,"Pde4b"
607.327309879298,2.02488103805688,0.21635454482502,9.3590871395585,8.0428552152075e-21,5.17155590337843e-18,"Jun"
1066.52010015566,1.09871888149202,0.117552622870085,9.34661307137556,9.04993043762603e-21,5.33417983211074e-18,"H3f3b"
184.824090106889,2.96109568094399,0.319842707558954,9.25797465742811,2.08346586517314e-20,1.1335656972592e-17,"Rgs1"
355.811344317127,2.19040823708634,0.237413140904484,9.22614573372579,2.80545364639284e-20,1.4173552600669e-17,"Zfp36"
151.861778472006,2.50730538218785,0.27763359860992,9.03098686449205,1.7013051408045e-19,8.02222084060684e-17,"Dusp1"
99.9882234150138,2.50161739785855,0.280466444782678,8.91948910250902,4.68444165065547e-19,2.07081598719288e-16,"Ifrd1"
293.800144020942,1.55920194317739,0.176468951883219,8.83555960716092,9.95984100611117e-19,3.91366419090135e-16,"Plek"
