"","wt_naive_0","wt_naive_1","wt_naive_2","wt_naive_3","ko_naive_0","ko_naive_1","ko_naive_2","ko_naive_3","wt_pathogenic_0","wt_pathogenic_1","wt_pathogenic_2","wt_pathogenic_3","ko_pathogenic_0","ko_pathogenic_1","ko_pathogenic_2","ko_pathogenic_3"
"Zbtb33",1,6,8,5,5,5,2,2,24,20,24,25,7,19,10,11
"Tmem255a",0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1
"Atp1b4",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Lamp2",40,46,37,42,39,40,47,47,147,185,155,178,95,128,126,133
"Gm7598",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"Cul4b",8,3,6,11,5,5,8,9,33,30,19,32,21,14,17,19
"Mcts1",22,31,31,40,38,24,43,33,122,151,120,146,107,106,80,90
"C1galt1c1",4,5,8,11,1,7,4,8,27,21,26,24,16,21,9,15
"Gm14565",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6030498E09Rik",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Gm14643",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gria3",55,70,101,67,44,80,53,68,132,139,117,102,82,98,114,96
"Thoc2",50,67,55,71,68,46,71,41,268,287,306,304,175,175,155,213
"Xiap",50,68,61,61,45,70,67,44,295,317,383,300,159,163,128,152
"Stag2",51,89,97,58,62,67,72,74,307,357,397,354,229,231,204,224
"Tex13c2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sh2d1a",1,0,0,0,1,2,5,3,1,0,0,3,0,0,1,0
"Tenm1",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"Dcaf12l1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4930515L19Rik",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Gm29242",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Smarca1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ocrl",2,8,1,2,2,3,3,1,13,6,14,19,9,8,9,12
"Apln",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Xpnpep2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"Sash3",19,24,30,32,22,27,28,21,99,104,122,127,71,62,46,71
"Zdhhc9",10,5,5,6,9,9,7,4,47,44,51,45,34,20,18,37
"Utp14a",11,20,14,19,13,12,16,13,61,75,73,70,47,47,39,40
"Bcorl1",2,6,2,1,2,2,1,2,5,5,8,8,4,7,7,7
"Elf4",47,73,67,79,59,57,57,51,307,343,368,326,221,187,170,193
"Aifm1",10,16,5,8,8,8,5,11,42,54,41,37,18,28,27,23
"Rab33a",0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0
"Zfp280c",9,8,12,11,8,9,12,4,43,41,35,32,32,17,23,23
"Slc25a14",2,2,1,1,0,4,2,2,7,8,6,7,2,5,5,7
"Gpr119",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rbmx2",3,10,6,8,2,12,6,5,16,17,19,13,19,9,14,11
"Enox2",39,144,83,73,81,56,51,54,299,337,398,240,126,132,116,227
"Olfr1322",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Firre",5,4,5,0,6,3,2,2,10,12,18,13,2,16,8,8
"Stk26",3,3,7,6,6,4,6,5,9,13,11,17,6,5,8,2
"Frmd7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rap2c",5,12,16,16,10,8,11,9,52,43,49,67,40,36,24,34
"Mbnl3",7,18,10,12,8,3,7,12,55,53,62,58,29,45,26,43
"Hs6st2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gpc4",0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1
"Gpc3",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"Gm14582",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"A630012P03Rik",0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0
"Kis2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phf6",19,44,27,36,21,22,28,20,81,92,101,93,51,66,68,68
"Hprt",22,30,38,24,26,33,40,26,101,114,110,95,78,93,84,77
"C430049B03Rik",0,1,0,0,3,0,1,2,2,4,0,1,0,0,0,0
"Plac1",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Fam122b",3,0,5,3,2,5,3,0,4,10,12,15,11,6,9,8
"Mospd1",12,8,6,9,5,9,13,10,26,23,31,40,25,18,22,22
"Etd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14597",0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0
"Rtl8c",0,0,0,0,1,0,0,0,2,2,1,1,3,0,1,1
"Rtl8a",14,9,4,6,3,7,10,4,42,39,23,34,28,23,23,29
"Rtl8b",6,1,5,1,0,4,5,5,17,19,18,19,8,13,16,18
"1700013H16Rik",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
