,wt_naive_0,wt_naive_1,wt_naive_2,wt_naive_3,ko_naive_0,ko_naive_1,ko_naive_2,ko_naive_3,wt_pathogenic_0,wt_pathogenic_1,wt_pathogenic_2,wt_pathogenic_3,ko_pathogenic_0,ko_pathogenic_1,ko_pathogenic_2,ko_pathogenic_3
Xkr4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0
Gm37381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mrpl15,16.0,15.0,13.0,22.0,15.0,23.0,26.0,22.0,81.0,77.0,95.0,79.0,46.0,48.0,40.0,45.0
Lypla1,13.0,22.0,25.0,31.0,27.0,19.0,24.0,20.0,101.0,115.0,104.0,90.0,54.0,60.0,63.0,56.0
Tcea1,62.0,52.0,48.0,49.0,42.0,47.0,53.0,52.0,211.0,173.0,223.0,164.0,130.0,109.0,151.0,119.0
Rgs20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atp6v1h,37.0,35.0,36.0,30.0,29.0,21.0,35.0,28.0,109.0,105.0,135.0,117.0,92.0,82.0,84.0,92.0
Rb1cc1,30.0,31.0,34.0,35.0,36.0,34.0,46.0,46.0,170.0,192.0,181.0,171.0,105.0,116.0,116.0,87.0
4732440D04Rik,2.0,0.0,4.0,3.0,0.0,1.0,3.0,5.0,14.0,10.0,11.0,12.0,5.0,5.0,2.0,3.0
Alkal1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St18,0.0,5.0,3.0,1.0,0.0,6.0,0.0,3.0,4.0,7.0,74.0,11.0,15.0,13.0,28.0,11.0
Pcmtd1,29.0,26.0,35.0,30.0,36.0,28.0,49.0,40.0,140.0,136.0,123.0,118.0,76.0,69.0,83.0,55.0
Gm26901,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0
Gm30414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sntg1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,0.0,1.0
Rrs1,4.0,10.0,2.0,13.0,4.0,5.0,8.0,6.0,41.0,30.0,29.0,24.0,12.0,13.0,10.0,15.0
Adhfe1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2610203C22Rik,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0,1.0,0.0
Vxn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
Mybl1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,2.0,5.0,0.0,0.0,0.0,1.0
Vcpip1,18.0,23.0,28.0,25.0,22.0,9.0,21.0,20.0,102.0,113.0,117.0,111.0,49.0,56.0,57.0,55.0
1700034P13Rik,1.0,3.0,0.0,0.0,3.0,0.0,3.0,1.0,7.0,4.0,0.0,4.0,12.0,0.0,4.0,0.0
Sgk3,75.0,103.0,83.0,71.0,62.0,56.0,84.0,75.0,486.0,481.0,504.0,429.0,250.0,232.0,249.0,264.0
Mcmdc2,1.0,3.0,5.0,2.0,1.0,3.0,0.0,0.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,9.0
