,wt_naive_0,wt_naive_1,wt_naive_2,wt_naive_3,ko_naive_0,ko_naive_1,ko_naive_2,ko_naive_3,wt_pathogenic_0,wt_pathogenic_1,wt_pathogenic_2,wt_pathogenic_3,ko_pathogenic_0,ko_pathogenic_1,ko_pathogenic_2,ko_pathogenic_3
Xkr4,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
Gm37381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mrpl15,20.0,13.0,18.0,15.0,16.0,21.0,25.0,24.0,86.0,72.0,97.0,77.0,40.0,46.0,52.0,41.0
Lypla1,27.0,21.0,20.0,23.0,23.0,28.0,20.0,19.0,86.0,116.0,101.0,107.0,59.0,61.0,63.0,50.0
Tcea1,53.0,66.0,55.0,37.0,46.0,43.0,60.0,45.0,191.0,180.0,211.0,189.0,128.0,142.0,126.0,113.0
Rgs20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atp6v1h,41.0,38.0,30.0,29.0,22.0,36.0,29.0,26.0,101.0,119.0,145.0,101.0,81.0,96.0,90.0,83.0
Rb1cc1,32.0,40.0,33.0,25.0,37.0,53.0,30.0,42.0,177.0,173.0,187.0,177.0,111.0,88.0,125.0,100.0
4732440D04Rik,4.0,3.0,2.0,0.0,3.0,1.0,2.0,3.0,16.0,7.0,10.0,14.0,3.0,4.0,1.0,7.0
Alkal1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
St18,4.0,1.0,1.0,3.0,3.0,0.0,4.0,2.0,31.0,25.0,6.0,34.0,20.0,13.0,15.0,19.0
Pcmtd1,17.0,41.0,31.0,31.0,33.0,42.0,40.0,38.0,154.0,117.0,135.0,111.0,67.0,71.0,78.0,67.0
Gm26901,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0
Gm30414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sntg1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0
Rrs1,6.0,5.0,9.0,9.0,4.0,7.0,8.0,4.0,31.0,24.0,34.0,35.0,9.0,21.0,12.0,8.0
Adhfe1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2610203C22Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,3.0,1.0,0.0
Vxn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
Mybl1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,6.0,4.0,1.0,0.0,0.0,0.0
Vcpip1,20.0,29.0,24.0,21.0,14.0,25.0,19.0,14.0,128.0,86.0,118.0,111.0,52.0,51.0,62.0,52.0
1700034P13Rik,0.0,2.0,2.0,0.0,3.0,1.0,0.0,3.0,9.0,3.0,0.0,3.0,11.0,0.0,3.0,2.0
Sgk3,75.0,95.0,95.0,67.0,60.0,66.0,74.0,77.0,506.0,418.0,494.0,482.0,281.0,225.0,247.0,242.0
Mcmdc2,4.0,2.0,2.0,3.0,1.0,0.0,1.0,2.0,2.0,1.0,4.0,4.0,0.0,12.0,3.0,3.0
Snhg6,11.0,15.0,11.0,8.0,11.0,9.0,18.0,13.0,61.0,46.0,67.0,44.0,40.0,45.0,62.0,52.0
Tcf24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ppp1r42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Cops5,20.0,32.0,21.0,17.0,22.0,9.0,26.0,21.0,122.0,86.0,102.0,67.0,61.0,49.0,52.0,48.0
Cspp1,36.0,31.0,17.0,21.0,18.0,26.0,33.0,17.0,120.0,105.0,151.0,106.0,70.0,86.0,69.0,69.0
Arfgef1,76.0,70.0,67.0,46.0,42.0,62.0,63.0,55.0,285.0,265.0,350.0,298.0,155.0,158.0,191.0,170.0
Cpa6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Prex2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
A830018L16Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sulf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Slco5a1,59.0,25.0,30.0,9.0,29.0,14.0,35.0,11.0,136.0,89.0,80.0,92.0,15.0,30.0,31.0,38.0
Prdm14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ncoa2,137.0,147.0,115.0,110.0,114.0,90.0,96.0,103.0,584.0,486.0,545.0,496.0,313.0,312.0,325.0,292.0
Gm29570,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0
Tram1,63.0,59.0,51.0,43.0,63.0,69.0,62.0,46.0,225.0,179.0,239.0,214.0,117.0,134.0,138.0,122.0
Lactb2,8.0,17.0,5.0,4.0,5.0,14.0,3.0,3.0,18.0,32.0,35.0,21.0,14.0,23.0,11.0,20.0
Xkr9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eya1,11.0,8.0,12.0,7.0,24.0,29.0,7.0,16.0,24.0,15.0,22.0,23.0,8.0,14.0,11.0,18.0
Trpa1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Kcnb2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terf1,10.0,16.0,11.0,12.0,9.0,17.0,14.0,10.0,83.0,54.0,104.0,89.0,46.0,41.0,48.0,43.0
Sbspon,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4930444P10Rik,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rpl7,746.0,752.0,887.0,703.0,656.0,669.0,800.0,649.0,2854.0,2384.0,2587.0,2630.0,1632.0,1895.0,2070.0,1718.0
Rdh10,0.0,1.0,5.0,6.0,4.0,5.0,4.0,4.0,17.0,15.0,17.0,17.0,11.0,7.0,8.0,10.0
Stau2,12.0,11.0,6.0,6.0,5.0,8.0,8.0,1.0,26.0,20.0,31.0,22.0,15.0,11.0,18.0,27.0
Gm7568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ube2w,44.0,35.0,45.0,29.0,29.0,34.0,42.0,26.0,187.0,143.0,138.0,159.0,94.0,102.0,112.0,86.0
Eloc,31.0,36.0,49.0,22.0,48.0,37.0,41.0,21.0,157.0,131.0,164.0,137.0,87.0,116.0,113.0,93.0
Tmem70,16.0,11.0,13.0,10.0,11.0,8.0,7.0,10.0,53.0,40.0,48.0,49.0,20.0,34.0,43.0,22.0
Ly96,7.0,4.0,5.0,4.0,10.0,6.0,4.0,10.0,25.0,29.0,31.0,15.0,9.0,17.0,18.0,7.0
Gm28376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Jph1,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0
Pi15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm16070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Crispld1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm28153,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0
Gm28756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tfap2d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pkhd1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
Il17f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Mcm3,7.0,11.0,11.0,11.0,13.0,13.0,6.0,11.0,77.0,45.0,75.0,54.0,27.0,25.0,18.0,36.0
Paqr8,2.0,4.0,6.0,2.0,6.0,4.0,10.0,1.0,20.0,26.0,23.0,18.0,3.0,9.0,12.0,9.0
