,wt_naive_0,wt_naive_1,wt_naive_2,wt_naive_3,ko_naive_0,ko_naive_1,ko_naive_2,ko_naive_3,wt_pathogenic_0,wt_pathogenic_1,wt_pathogenic_2,wt_pathogenic_3,ko_pathogenic_0,ko_pathogenic_1,ko_pathogenic_2,ko_pathogenic_3
Xkr4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
Gm37381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mrpl15,11.0,26.0,17.0,12.0,26.0,17.0,16.0,27.0,82.0,97.0,72.0,81.0,39.0,54.0,28.0,58.0
Lypla1,22.0,34.0,17.0,18.0,22.0,22.0,23.0,23.0,94.0,120.0,103.0,93.0,67.0,56.0,48.0,62.0
Tcea1,49.0,54.0,61.0,47.0,46.0,39.0,56.0,53.0,200.0,196.0,224.0,151.0,123.0,132.0,142.0,112.0
Rgs20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atp6v1h,29.0,41.0,33.0,35.0,35.0,23.0,27.0,28.0,120.0,120.0,112.0,114.0,85.0,91.0,84.0,90.0
Rb1cc1,34.0,46.0,26.0,24.0,37.0,43.0,39.0,43.0,164.0,220.0,182.0,148.0,111.0,103.0,99.0,111.0
4732440D04Rik,1.0,4.0,1.0,3.0,6.0,0.0,2.0,1.0,15.0,13.0,3.0,16.0,5.0,5.0,3.0,2.0
Alkal1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
St18,4.0,3.0,2.0,0.0,2.0,0.0,5.0,2.0,5.0,35.0,14.0,42.0,22.0,6.0,20.0,19.0
Pcmtd1,32.0,34.0,35.0,19.0,39.0,26.0,54.0,34.0,111.0,163.0,109.0,134.0,88.0,65.0,75.0,55.0
Gm26901,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0
Gm30414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sntg1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,1.0,1.0,2.0,0.0,1.0
Rrs1,5.0,7.0,11.0,6.0,7.0,2.0,7.0,7.0,29.0,38.0,29.0,28.0,16.0,6.0,15.0,13.0
Adhfe1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2610203C22Rik,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0
Vxn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
Mybl1,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,5.0,4.0,0.0,0.0,0.0,1.0
Vcpip1,21.0,26.0,26.0,21.0,22.0,20.0,17.0,13.0,131.0,116.0,96.0,100.0,46.0,53.0,60.0,58.0
