,wt_naive_0,wt_naive_1,wt_naive_2,wt_naive_3,ko_naive_0,ko_naive_1,ko_naive_2,ko_naive_3,wt_pathogenic_0,wt_pathogenic_1,wt_pathogenic_2,wt_pathogenic_3,ko_pathogenic_0,ko_pathogenic_1,ko_pathogenic_2,ko_pathogenic_3
Apol8,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0,3.0,3.0,7.0,3.0,3.0,7.0
Myh9,152.0,199.0,172.0,159.0,153.0,130.0,112.0,105.0,793.0,783.0,842.0,853.0,446.0,410.0,426.0,420.0
Txn2,32.0,32.0,37.0,35.0,35.0,31.0,18.0,36.0,103.0,112.0,122.0,140.0,92.0,74.0,93.0,69.0
Foxred2,2.0,4.0,1.0,4.0,4.0,3.0,5.0,2.0,16.0,10.0,13.0,13.0,7.0,17.0,7.0,12.0
Eif3d,34.0,38.0,35.0,27.0,34.0,27.0,36.0,32.0,155.0,100.0,140.0,119.0,98.0,90.0,75.0,93.0
Gm17638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
Ift27,9.0,9.0,4.0,8.0,10.0,4.0,1.0,5.0,13.0,11.0,20.0,12.0,10.0,8.0,8.0,5.0
Gm49694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0
Ncf4,45.0,31.0,38.0,36.0,36.0,45.0,26.0,31.0,184.0,140.0,156.0,154.0,117.0,107.0,102.0,92.0
Csf2rb2,23.0,18.0,23.0,22.0,41.0,24.0,17.0,20.0,47.0,63.0,56.0,64.0,35.0,30.0,39.0,30.0
Csf2rb,43.0,54.0,45.0,58.0,57.0,54.0,46.0,50.0,219.0,225.0,201.0,250.0,126.0,142.0,121.0,115.0
Tst,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0
