,wt_naive_0,wt_naive_1,wt_naive_2,wt_naive_3,ko_naive_0,ko_naive_1,ko_naive_2,ko_naive_3,wt_pathogenic_0,wt_pathogenic_1,wt_pathogenic_2,wt_pathogenic_3,ko_pathogenic_0,ko_pathogenic_1,ko_pathogenic_2,ko_pathogenic_3
Xkr4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0
Gm37381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mrpl15,15.0,18.0,16.0,17.0,27.0,13.0,18.0,28.0,71.0,86.0,90.0,85.0,57.0,31.0,49.0,42.0
Lypla1,22.0,25.0,28.0,16.0,20.0,24.0,23.0,23.0,93.0,112.0,107.0,98.0,69.0,59.0,53.0,52.0
Tcea1,53.0,55.0,43.0,60.0,43.0,44.0,49.0,58.0,197.0,197.0,185.0,192.0,118.0,137.0,130.0,124.0
Rgs20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atp6v1h,35.0,41.0,31.0,31.0,21.0,30.0,37.0,25.0,98.0,124.0,121.0,123.0,75.0,88.0,84.0,103.0
Rb1cc1,28.0,38.0,34.0,30.0,42.0,36.0,43.0,41.0,158.0,174.0,159.0,223.0,85.0,113.0,117.0,109.0
4732440D04Rik,4.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,17.0,8.0,4.0,18.0,7.0,1.0,4.0,3.0
Alkal1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St18,0.0,3.0,3.0,3.0,2.0,0.0,0.0,7.0,7.0,35.0,14.0,40.0,21.0,13.0,15.0,18.0
Pcmtd1,40.0,41.0,15.0,24.0,41.0,37.0,30.0,45.0,130.0,106.0,153.0,128.0,65.0,64.0,84.0,70.0
Gm26901,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0
Gm30414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sntg1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,1.0
Rrs1,7.0,6.0,6.0,10.0,7.0,3.0,4.0,9.0,24.0,31.0,32.0,37.0,18.0,9.0,8.0,15.0
Adhfe1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2610203C22Rik,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0
Vxn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0
Mybl1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0
Vcpip1,23.0,23.0,21.0,27.0,16.0,20.0,21.0,15.0,109.0,122.0,101.0,111.0,52.0,59.0,55.0,51.0
1700034P13Rik,2.0,0.0,2.0,0.0,3.0,3.0,1.0,0.0,4.0,1.0,8.0,2.0,3.0,0.0,1.0,12.0
Sgk3,84.0,87.0,64.0,97.0,54.0,76.0,72.0,75.0,450.0,465.0,472.0,513.0,273.0,223.0,249.0,250.0
Mcmdc2,2.0,3.0,3.0,3.0,0.0,2.0,1.0,1.0,4.0,3.0,2.0,2.0,3.0,6.0,5.0,4.0
Snhg6,15.0,11.0,9.0,10.0,11.0,13.0,9.0,18.0,46.0,61.0,56.0,55.0,44.0,45.0,43.0,67.0
Tcf24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ppp1r42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Cops5,22.0,20.0,20.0,28.0,20.0,19.0,14.0,25.0,82.0,96.0,97.0,102.0,54.0,52.0,49.0,55.0
Cspp1,22.0,32.0,29.0,22.0,21.0,27.0,26.0,20.0,122.0,112.0,105.0,143.0,88.0,57.0,69.0,80.0
Arfgef1,67.0,85.0,56.0,51.0,58.0,53.0,69.0,42.0,276.0,286.0,284.0,352.0,168.0,163.0,170.0,173.0
Cpa6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Prex2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
A830018L16Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sulf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Slco5a1,49.0,32.0,35.0,7.0,37.0,39.0,12.0,1.0,107.0,50.0,162.0,78.0,23.0,28.0,4.0,59.0
Prdm14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ncoa2,135.0,136.0,133.0,105.0,106.0,105.0,89.0,103.0,553.0,511.0,521.0,526.0,350.0,288.0,311.0,293.0
Gm29570,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0
Tram1,51.0,72.0,42.0,51.0,55.0,64.0,59.0,62.0,193.0,225.0,222.0,217.0,131.0,130.0,110.0,140.0
Lactb2,6.0,14.0,6.0,8.0,5.0,5.0,7.0,8.0,23.0,26.0,33.0,24.0,18.0,20.0,17.0,13.0
Xkr9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eya1,12.0,15.0,3.0,8.0,12.0,26.0,12.0,26.0,19.0,28.0,25.0,12.0,9.0,11.0,12.0,19.0
Trpa1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
Kcnb2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terf1,11.0,11.0,7.0,20.0,9.0,14.0,12.0,15.0,81.0,82.0,78.0,89.0,48.0,44.0,46.0,40.0
Sbspon,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4930444P10Rik,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rpl7,746.0,795.0,756.0,791.0,694.0,655.0,671.0,754.0,2471.0,2762.0,2646.0,2576.0,1960.0,1705.0,1828.0,1822.0
Rdh10,3.0,4.0,2.0,3.0,6.0,7.0,2.0,2.0,15.0,12.0,17.0,22.0,15.0,7.0,7.0,7.0
Stau2,11.0,12.0,2.0,10.0,3.0,5.0,4.0,10.0,27.0,19.0,26.0,27.0,15.0,12.0,19.0,25.0
Gm7568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ube2w,37.0,37.0,37.0,42.0,33.0,33.0,26.0,39.0,154.0,168.0,144.0,161.0,91.0,103.0,98.0,102.0
Eloc,37.0,28.0,38.0,35.0,45.0,28.0,31.0,43.0,136.0,157.0,165.0,131.0,98.0,100.0,110.0,101.0
Tmem70,14.0,13.0,10.0,13.0,15.0,5.0,9.0,7.0,42.0,36.0,61.0,51.0,31.0,35.0,30.0,23.0
Ly96,4.0,4.0,4.0,8.0,15.0,2.0,4.0,9.0,26.0,25.0,22.0,27.0,9.0,14.0,12.0,16.0
Gm28376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Jph1,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0
Pi15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm16070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Crispld1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm28153,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0
Gm28756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Tfap2d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Pkhd1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
Il17f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Mcm3,13.0,6.0,9.0,12.0,11.0,12.0,10.0,10.0,56.0,58.0,59.0,78.0,29.0,18.0,37.0,22.0
Paqr8,8.0,2.0,2.0,2.0,1.0,4.0,4.0,12.0,20.0,22.0,27.0,18.0,7.0,4.0,8.0,14.0
Efhc1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
Tram2,4.0,12.0,7.0,9.0,3.0,5.0,3.0,3.0,29.0,52.0,39.0,42.0,10.0,15.0,18.0,22.0
Tmem14a,1.0,1.0,1.0,1.0,2.0,1.0,3.0,4.0,11.0,9.0,5.0,7.0,6.0,4.0,4.0,4.0
Gsta3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0
Gm28836,4.0,1.0,2.0,1.0,1.0,4.0,2.0,0.0,11.0,4.0,8.0,13.0,8.0,5.0,9.0,1.0
Khdc1a,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
Khdc1c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khdc1b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kcnq5,3.0,11.0,9.0,5.0,17.0,7.0,8.0,9.0,27.0,36.0,68.0,20.0,8.0,6.0,23.0,6.0
Rims1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm29107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ogfrl1,42.0,46.0,49.0,53.0,54.0,39.0,34.0,42.0,161.0,133.0,195.0,130.0,112.0,97.0,109.0,99.0
B3gat2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,2.0,3.0,5.0,1.0,1.0,1.0
Smap1,41.0,42.0,36.0,31.0,30.0,40.0,43.0,27.0,149.0,154.0,156.0,134.0,110.0,102.0,119.0,110.0
Sdhaf4,21.0,13.0,8.0,17.0,13.0,10.0,10.0,9.0,53.0,56.0,40.0,44.0,36.0,31.0,31.0,29.0
Fam135a,3.0,14.0,1.0,7.0,1.0,7.0,8.0,1.0,26.0,18.0,30.0,27.0,22.0,13.0,22.0,18.0
Col19a1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,6.0,4.0,0.0
Lmbrd1,34.0,36.0,24.0,36.0,24.0,30.0,23.0,24.0,110.0,126.0,101.0,131.0,77.0,79.0,84.0,98.0
Adgrb3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Phf3,65.0,71.0,43.0,75.0,55.0,69.0,48.0,80.0,192.0,234.0,204.0,217.0,136.0,163.0,167.0,135.0
Ptp4a1,1.0,1.0,2.0,4.0,0.0,0.0,1.0,2.0,3.0,5.0,0.0,3.0,9.0,8.0,10.0,11.0
Ptp4a1-1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0
4931428L18Rik,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm29128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khdrbs2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm37724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Prim2,11.0,11.0,7.0,9.0,11.0,8.0,6.0,8.0,63.0,66.0,57.0,66.0,31.0,38.0,32.0,22.0
Rab23,1.0,3.0,1.0,3.0,3.0,1.0,0.0,1.0,10.0,9.0,9.0,7.0,5.0,1.0,4.0,5.0
Bag2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,6.0,5.0,5.0,0.0,2.0,0.0,4.0
Zfp451,19.0,26.0,12.0,10.0,9.0,15.0,5.0,14.0,71.0,79.0,65.0,73.0,39.0,38.0,33.0,44.0
Bend6,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0
Dst,15.0,28.0,5.0,13.0,14.0,13.0,14.0,8.0,52.0,61.0,35.0,55.0,25.0,39.0,18.0,16.0
Gm26788,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Gm37233,5.0,0.0,0.0,2.0,0.0,1.0,4.0,2.0,4.0,4.0,5.0,5.0,3.0,1.0,1.0,2.0
Ccdc115,10.0,10.0,11.0,14.0,14.0,13.0,16.0,21.0,52.0,48.0,48.0,40.0,31.0,36.0,35.0,40.0
Gm28306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imp4,8.0,8.0,16.0,10.0,11.0,12.0,17.0,12.0,39.0,50.0,47.0,46.0,42.0,40.0,28.0,36.0
Ptpn18,179.0,152.0,143.0,144.0,145.0,141.0,153.0,162.0,569.0,539.0,556.0,550.0,439.0,395.0,413.0,419.0
Gm28417,8.0,2.0,4.0,6.0,5.0,3.0,5.0,3.0,10.0,10.0,15.0,9.0,1.0,8.0,9.0,4.0
4930568A12Rik,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0
Prss39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cfc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arhgef4,1.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,4.0,4.0,7.0,6.0,1.0,4.0,0.0,5.0
Gm38336,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,3.0,4.0,1.0,1.0,3.0
Fam168b,56.0,60.0,51.0,51.0,55.0,46.0,53.0,57.0,200.0,222.0,241.0,221.0,143.0,133.0,151.0,141.0
Plekhb2,15.0,19.0,30.0,20.0,27.0,15.0,18.0,14.0,65.0,95.0,81.0,82.0,46.0,45.0,49.0,45.0
Gm37068,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1110002O04Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hs6st1,13.0,8.0,12.0,15.0,13.0,8.0,8.0,10.0,52.0,51.0,56.0,78.0,45.0,52.0,33.0,44.0
Gm33280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
Uggt1,50.0,50.0,23.0,41.0,36.0,48.0,46.0,44.0,167.0,174.0,164.0,184.0,124.0,82.0,121.0,94.0
Neurl3,36.0,40.0,26.0,32.0,16.0,27.0,30.0,35.0,156.0,127.0,100.0,147.0,99.0,95.0,124.0,109.0
Arid5a,5.0,6.0,4.0,7.0,10.0,3.0,7.0,6.0,26.0,29.0,34.0,28.0,16.0,9.0,25.0,14.0
4930403P22Rik,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0
Kansl3,10.0,12.0,13.0,21.0,12.0,10.0,14.0,13.0,62.0,64.0,51.0,72.0,33.0,32.0,27.0,39.0
Fer1l5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
